Ticker,Name,Name_ZH,Date_Today,Date_Prev,Volume_Today,Volume_Prev,Pct_Change
0591.HK,C HIGHPRECISION,中国高精密,2026-06-17,2026-06-16,1022000,412000,+148.06%
0632.HK,CHK OIL,中港石油,2026-06-17,2026-06-16,3202000,1292000,+147.83%
3658.HK,NEW HOPE SERV,新希望服务,2026-06-17,2026-06-16,517000,209000,+147.37%
0040.HK,GOLD PEAK,金山科技工业,2026-06-17,2026-06-16,106000,43000,+146.51%
6885.HK,JINMA ENERGY,金马能源,2026-06-17,2026-06-16,285000,116000,+145.69%
0255.HK,LUNG KEE,龙记集团,2026-06-17,2026-06-16,156000,64000,+143.75%
3818.HK,CHINA DONGXIANG,中国动向,2026-06-17,2026-06-16,1583000,651000,+143.16%
8635.HK,ELEPHANT HLDGS,大象控股集团,2026-06-17,2026-06-16,1244000,512000,+142.97%
0738.HK,LE SAUNDA,莱尔斯丹,2026-06-17,2026-06-16,170000,70000,+142.86%
3600.HK,MODERN DENTAL,现代牙科,2026-06-17,2026-06-16,674690,279999,+140.96%
1520.HK,VIRTUAL MIND,天机控股,2026-06-17,2026-06-16,1141000,474000,+140.72%
0064.HK,GET NICE,结好控股,2026-06-17,2026-06-16,223200,94395,+136.45%
2139.HK,BANK OF GANSU,甘肃银行,2026-06-17,2026-06-16,1399000,592000,+136.32%
8217.HK,JU FU TANG BIOT,菊福堂生物,2026-06-17,2026-06-16,435000,184375,+135.93%
8491.HK,COOL LINK,COOL LINK,2026-06-17,2026-06-16,4290000,1835000,+133.79%
1025.HK,KNT HOLDINGS,嘉艺控股,2026-06-17,2026-06-16,7188000,3088000,+132.77%
9983.HK,CC NEW LIFE,建业新生活,2026-06-17,2026-06-16,1258000,542000,+132.10%
3389.HK,HENGDELI,亨得利,2026-06-17,2026-06-16,2848000,1228000,+131.92%
1201.HK,TESSON HOLDINGS,天臣控股,2026-06-17,2026-06-16,2134200,927000,+130.23%
2126.HK,JW THERAP-B,药明巨诺－Ｂ,2026-06-17,2026-06-16,1367000,594000,+130.13%
0997.HK,CHINLINK INTL,普汇中金国际,2026-06-17,2026-06-16,184000,80000,+130.00%
0711.HK,ASIA ALLIED INF,亚洲联合基建控股,2026-06-17,2026-06-16,558000,244000,+128.69%
0655.HK,HK CHINESE LTD,香港华人有限公司,2026-06-17,2026-06-16,494000,218000,+126.61%
0258.HK,TOMSON GROUP,汤臣集团,2026-06-17,2026-06-16,598000,263894,+126.61%
8198.HK,CRYPTO FLOW,加幂科技,2026-06-17,2026-06-16,1072000,476000,+125.21%
1026.HK,UNIVERSAL TECH,环球实业科技,2026-06-17,2026-06-16,270000,120000,+125.00%
1528.HK,RS MACALLINE,红星美凯龙,2026-06-17,2026-06-16,4610800,2053400,+124.54%
1884.HK,EPRINT GROUP,ＥＰＲＩＮＴ集团,2026-06-17,2026-06-16,188000,84000,+123.81%
2314.HK,LEE & MAN PAPER,理文造纸,2026-06-17,2026-06-16,4531220,2031000,+123.10%
0220.HK,U-PRESID CHINA,统一企业中国,2026-06-17,2026-06-16,9062868,4073300,+122.49%
1660.HK,SEVEN ELEMENTS,七元投资,2026-06-17,2026-06-16,8424000,3792000,+122.15%
2607.HK,SH PHARMA,上海医药,2026-06-17,2026-06-16,4833200,2177400,+121.97%
1643.HK,MODERN CHI MED,现代中药集团,2026-06-17,2026-06-16,1161000,525000,+121.14%
0451.HK,GCL NEWENERGY,协鑫新能源,2026-06-17,2026-06-16,3906578,1779099,+119.58%
8507.HK,I.CENTURY HLDG,爱世纪集团,2026-06-17,2026-06-16,2324000,1072000,+116.79%
